,Distance (scaled),Elevation (scaled),Wind (scaled),Is snowing,Result
3518,33,640,23.0,0,1
3519,31,640,23.0,0,1
3520,33,640,23.0,0,1
3521,33,7,7.0,0,1
3522,33,7,7.0,0,1
3523,33,7,7.0,0,1
3524,50,7,7.0,0,1
3525,38,7,7.0,0,1
3526,35,7,7.0,0,1
3527,47,7,7.0,0,0
3528,49,7,7.0,0,1
3529,33,7,7.0,0,1
3530,33,594,11.0,0,1
3531,23,594,11.0,0,1
3532,42,594,11.0,0,1
3533,33,594,11.0,0,1
3534,37,594,11.0,0,1
3535,43,594,11.0,0,1
3536,33,3,18.0,0,1
3537,40,3,18.0,0,1
3538,33,3,18.0,0,1
3539,33,3,18.0,0,1
3540,35,3,18.0,0,1
3541,44,3,18.0,0,1
3542,23,62,0.0,0,1
3543,33,62,0.0,0,1
3544,33,62,0.0,0,1
3545,33,62,0.0,0,1
3546,37,62,0.0,0,1
3547,61,62,0.0,0,1
3548,33,62,0.0,0,0
3549,39,62,0.0,0,1
3550,33,3,0.0,0,1
3551,32,3,0.0,0,1
3552,49,3,0.0,0,1
3553,33,3,0.0,0,1
3554,33,3,0.0,0,1
3555,23,3,0.0,0,1
3556,33,3,0.0,0,1
3557,40,3,0.0,0,1
3558,33,748,15.0,0,1
3559,33,748,15.0,0,1
3560,33,748,15.0,0,1
3561,23,748,15.0,0,1
3562,46,748,15.0,0,1
3563,33,748,15.0,0,1
3564,24,748,15.0,0,1
3565,21,748,15.0,0,1
3566,40,748,15.0,0,1
3567,33,748,15.0,0,1
3568,33,748,15.0,0,1
3569,33,646,0.0,0,1
3570,38,646,0.0,0,1
3571,33,646,0.0,0,1
3572,43,646,0.0,0,0
3573,53,646,0.0,0,1
3574,33,646,0.0,0,1
3575,33,646,0.0,0,1
3576,33,646,0.0,0,1
3577,33,646,0.0,0,1
3578,37,646,0.0,0,1
3579,41,646,0.0,0,1
3580,59,646,0.0,0,1
3581,33,20,11.0,0,1
3582,33,20,11.0,0,1
3583,33,20,11.0,0,0
3584,27,20,11.0,0,1
3585,33,20,11.0,0,1
3586,33,20,11.0,0,1
3587,33,20,11.0,0,1
3588,41,20,11.0,0,1
3589,28,3,0.0,0,1
3590,22,3,0.0,0,1
3591,51,3,0.0,0,1
3592,53,3,0.0,0,0
3593,52,3,0.0,0,1
3594,33,3,0.0,0,1
3595,33,3,0.0,0,1
3596,33,3,0.0,0,1
3597,33,450,7.0,0,0
3598,33,450,7.0,0,1
3599,33,450,7.0,0,0
3600,53,450,7.0,0,1
3601,58,450,7.0,0,0
3602,33,450,7.0,0,1
3603,32,450,7.0,0,1
3604,50,450,7.0,0,1
3605,38,450,7.0,0,0
