,Distance (yds),Elevation (ft),Is Home,Result
357,27,26,1,1
358,33,26,1,1
359,52,26,1,1
360,33,26,0,1
361,23,26,1,1
362,33,26,0,1
363,34,26,1,0
364,33,289,1,0
365,33,289,1,1
366,33,289,1,1
367,37,289,1,1
368,33,289,1,1
369,33,289,0,1
370,33,289,0,1
371,33,840,1,1
372,33,840,1,1
373,33,840,1,1
374,33,840,0,1
375,33,840,1,1
376,49,840,1,1
377,51,840,0,0
378,24,840,1,1
379,33,840,0,1
380,46,13,0,1
381,26,13,0,1
382,24,13,1,1
383,33,13,1,1
384,33,13,0,1
385,33,13,1,1
386,33,13,0,1
387,33,13,1,1
388,33,7,1,1
389,33,7,1,1
390,40,7,1,1
391,33,7,0,1
392,48,7,1,1
393,48,50,0,1
394,52,50,1,0
395,37,50,1,1
396,33,50,0,1
397,33,50,1,1
398,55,50,0,1
399,26,50,0,1
400,28,750,0,1
401,33,750,1,1
402,29,750,1,1
403,33,750,1,1
404,33,750,1,1
405,49,750,1,1
406,33,25,0,1
407,33,25,1,1
408,24,25,0,1
409,41,25,1,1
410,33,25,0,1
411,33,25,0,1
412,43,25,0,1
413,33,25,0,1
414,33,25,1,1
415,28,3,0,1
416,40,3,1,1
417,42,3,1,1
418,19,3,1,1
419,33,3,0,1
420,26,3,1,1
421,33,5280,1,1
422,25,5280,0,1
423,33,5280,1,1
424,33,5280,1,1
425,40,5280,0,1
426,33,5280,0,1
427,33,5280,0,1
428,34,5280,0,1
429,33,5280,1,1
430,33,5280,0,1
431,25,646,1,1
432,36,646,0,0
433,33,646,1,1
434,23,646,0,1
435,33,646,0,1
436,47,646,1,1
437,44,646,0,1
438,33,646,0,1
439,53,646,1,1
440,33,646,1,1
441,33,646,0,1
442,33,646,1,1
443,33,646,0,1
444,44,7,0,1
445,33,7,1,1
446,33,7,0,1
447,30,7,1,1
448,50,7,1,0
449,33,7,0,1
450,52,7,1,0
451,45,7,0,1
452,33,7,0,1
453,51,7,0,1
454,33,594,1,1
455,26,594,1,1
456,38,594,1,1
457,30,594,1,1
458,33,597,0,0
459,33,597,0,1
460,46,597,1,1
461,49,597,1,0
462,33,597,1,1
463,22,597,0,1
464,33,710,0,1
465,33,710,0,1
466,33,710,1,1
467,33,710,0,1
468,26,710,1,1
469,57,710,1,0
470,26,710,0,1
471,33,710,1,1
472,33,710,0,1
473,33,710,1,1
474,33,640,1,1
475,30,640,1,1
476,33,640,0,1
477,31,640,1,1
478,33,640,0,1
479,33,640,0,1
480,33,640,1,1
481,33,640,1,1
482,33,640,0,1
483,44,1070,1,0
484,33,1070,0,1
485,33,1070,0,1
486,33,1070,1,1
487,33,1070,0,1
488,48,1070,1,0
489,24,1070,0,1
490,33,1070,1,1
491,33,1070,0,1
492,33,233,0,1
493,33,233,0,1
494,33,233,0,1
495,33,233,1,1
496,33,233,1,1
497,33,233,0,1
498,58,233,1,1
499,44,233,1,1
500,58,233,0,1
501,33,233,0,1
502,33,233,1,1
503,33,233,0,1
504,33,233,1,1
505,21,233,0,1
506,25,233,0,1
507,33,1050,0,1
508,33,1050,1,1
509,33,1050,0,1
510,45,1050,0,1
511,33,1050,0,1
512,32,1050,1,0
513,42,1050,1,1
514,33,3,1,1
515,33,3,1,1
516,21,3,0,1
517,30,3,1,1
518,33,3,1,1
519,23,482,1,1
520,33,482,0,1
521,37,482,0,0
522,23,482,0,1
523,48,482,1,1
524,20,482,0,1
525,23,482,1,1
526,22,482,0,1
527,33,482,0,1
528,33,482,1,1
529,33,482,1,1
530,31,482,0,1
531,33,50,0,1
532,33,50,1,1
533,35,50,0,1
534,33,50,1,0
535,50,50,1,1
536,33,50,0,1
537,33,50,1,1
538,25,50,1,1
539,33,50,1,1
540,33,50,1,1
541,33,50,0,1
542,33,50,1,1
543,33,50,1,0
544,27,750,0,1
545,33,750,0,1
546,33,750,1,1
547,33,750,0,1
548,41,750,1,1
549,29,750,1,1
550,33,750,1,1
551,26,750,0,1
552,33,750,1,1
553,48,750,0,1
554,46,750,0,1
555,50,430,1,0
556,33,430,0,1
557,36,430,1,0
558,38,430,1,1
559,33,430,1,0
560,33,430,0,1
561,53,430,1,0
562,33,118,1,1
563,33,118,1,1
564,41,118,1,1
565,33,118,0,1
566,33,118,0,1
567,33,118,0,1
568,33,118,1,1
569,33,13,1,1
570,33,13,1,1
571,47,13,1,0
572,30,13,0,1
573,33,13,1,1
574,52,13,1,0
575,28,13,1,1
576,32,13,1,0
577,44,13,1,1
578,33,141,0,1
579,33,141,0,1
580,48,141,1,0
581,40,141,0,1
582,33,141,1,1
583,54,141,0,0
584,45,141,1,1
585,46,141,0,1
586,32,141,1,1
587,33,645,0,1
588,33,645,0,1
589,20,645,0,1
590,54,645,1,0
591,33,645,0,1
592,36,645,1,1
593,33,645,0,1
594,33,645,1,1
595,33,645,1,1
596,38,645,0,1
597,33,645,1,1
598,33,645,1,0
599,29,1020,1,1
600,33,1020,0,1
601,33,1020,1,1
602,32,1020,0,1
603,32,1020,0,1
604,31,1020,0,1
605,30,1020,0,1
606,36,1020,1,1
607,33,748,1,1
608,33,748,0,1
609,33,748,1,1
610,33,748,1,1
611,33,748,0,1
612,56,748,1,0
613,35,748,0,1
614,33,748,1,1
615,33,748,0,1
616,46,748,1,0
617,38,748,0,1
618,33,748,1,0
619,47,20,0,1
620,32,20,0,1
621,33,20,1,1
622,33,20,1,1
623,48,20,1,0
624,33,20,0,1
625,33,20,0,1
626,33,20,1,1
627,42,20,1,1
628,36,20,0,1
629,44,20,0,0
630,31,3,0,1
631,33,3,0,1
632,33,3,1,1
633,48,3,0,1
634,32,3,0,1
635,32,3,1,1
636,33,3,0,1
637,45,3,0,1
638,33,450,1,1
639,33,450,0,0
640,37,450,0,1
641,23,450,0,1
642,33,450,0,1
643,33,450,0,1
644,33,450,0,1
645,33,30,1,1
646,33,30,1,1
647,55,30,0,0
648,33,30,1,1
649,28,30,1,1
650,33,30,1,1
651,29,3,1,1
652,33,3,0,1
653,33,3,1,1
654,42,3,0,1
655,33,3,1,1
656,33,3,1,1
657,33,3,0,1
658,33,3,1,1
659,33,3,0,1
660,33,1070,0,1
661,39,1070,1,1
662,33,1070,1,1
663,33,1070,1,1
664,29,1070,0,1
665,22,1070,1,1
666,33,1070,1,1
667,44,1070,0,1
668,33,1070,0,1
669,33,1070,0,1
670,33,1070,1,1
671,33,1070,0,0
672,49,118,0,1
673,33,118,0,1
674,33,118,1,1
675,33,118,0,1
676,68,118,0,0
677,46,118,0,1
678,38,118,0,1
679,54,118,1,1
680,33,118,0,1
681,29,118,0,1
682,41,118,0,0
683,33,25,0,1
684,33,25,1,1
685,33,25,1,1
686,40,25,1,1
687,22,25,0,1
688,49,25,1,1
689,20,25,1,1
690,33,25,0,1
691,33,3,1,1
692,50,3,0,1
693,33,3,1,1
694,33,3,1,1
695,62,3,0,1
696,32,3,0,1
697,40,3,0,0
698,33,3,0,1
699,38,3,1,1
700,26,640,0,1
701,33,640,0,1
702,22,640,0,1
703,33,640,1,1
704,37,640,1,1
705,48,640,1,1
706,41,640,0,1
707,51,640,0,1
708,53,640,0,1
709,38,640,1,1
710,23,640,1,1
711,33,1020,1,1
712,41,1020,1,1
713,44,1020,0,1
714,33,1020,1,1
715,33,1020,0,0
716,33,1020,0,1
717,50,1020,1,0
718,33,1020,0,1
719,46,1020,0,0
720,33,1020,1,1
721,47,7,0,1
722,22,7,1,1
723,21,7,0,1
724,32,7,1,1
725,33,7,0,1
726,33,289,1,1
727,33,289,1,1
728,33,289,0,1
729,33,289,0,1
730,33,289,1,1
731,40,289,1,0
732,33,289,1,1
733,33,289,1,1
734,38,840,1,1
735,39,840,1,1
736,53,840,0,1
737,33,840,1,1
738,33,840,1,1
739,33,840,0,1
740,33,840,0,1
741,40,840,0,1
742,33,840,1,1
743,33,840,1,1
744,33,141,0,1
745,33,141,0,1
746,33,141,0,1
747,43,141,1,0
748,20,141,0,1
749,38,141,1,1
750,33,141,1,1
751,33,141,1,1
752,33,584,1,1
753,33,584,0,0
754,33,584,1,1
755,33,584,1,0
756,38,584,0,1
757,20,584,0,1
758,33,584,0,1
759,33,584,0,1
760,33,233,1,1
761,33,233,0,1
762,55,233,0,0
763,33,233,0,1
764,25,233,0,1
765,33,233,0,1
766,31,5280,1,1
767,53,5280,1,1
768,33,5280,1,1
769,48,5280,1,1
770,33,7,0,1
771,39,7,1,1
772,33,7,0,1
773,21,7,0,1
774,55,7,0,0
775,33,7,1,1
776,33,3,0,1
777,33,3,0,1
778,47,3,0,1
779,33,3,1,1
780,33,3,1,1
781,33,3,0,1
782,37,3,1,0
783,33,3,1,1
784,35,3,0,1
785,25,20,0,1
786,33,20,1,1
787,28,20,0,1
788,34,20,1,1
789,33,20,0,1
790,31,20,1,1
791,53,20,1,0
792,33,20,0,1
793,22,20,0,1
794,33,20,0,1
795,35,20,1,1
796,33,710,1,1
797,47,710,0,1
798,31,710,0,1
799,33,710,1,1
800,26,710,0,1
801,33,710,1,1
802,33,710,0,1
803,33,710,1,1
804,33,710,0,1
805,21,482,0,1
806,33,482,1,1
807,29,482,0,1
808,37,482,0,1
809,37,482,1,1
810,33,482,0,1
811,26,482,0,1
812,33,482,1,1
813,33,5280,0,1
814,33,5280,0,1
815,19,5280,0,1
816,33,5280,0,1
817,45,5280,1,0
818,33,5280,0,1
819,39,5280,0,1
820,45,430,1,1
821,29,430,0,1
822,33,430,0,1
823,33,430,1,1
824,33,430,1,0
825,50,430,0,1
826,33,430,1,1
827,33,430,0,1
828,52,1050,1,1
829,40,1050,0,0
830,55,1050,0,1
831,33,1050,0,1
832,25,1050,0,1
833,50,1050,1,0
834,33,1050,0,1
835,38,1050,0,1
836,20,1050,0,1
837,33,1050,1,1
838,33,1050,0,1
839,39,597,1,1
840,43,597,1,1
841,33,597,0,1
842,44,597,1,1
843,33,597,0,1
844,33,597,1,1
845,33,597,0,1
846,33,597,1,1
847,33,646,1,1
848,33,646,0,1
849,33,646,1,1
850,33,646,0,1
851,33,646,0,1
852,33,646,1,1
853,33,646,0,1
854,46,646,1,1
855,45,646,0,0
856,33,646,0,1
857,33,646,0,1
858,33,3,0,1
859,34,3,0,1
860,33,3,0,1
861,33,3,0,1
862,33,3,0,1
863,33,594,0,1
864,33,594,1,1
865,46,594,1,1
866,38,594,0,1
867,42,594,0,0
868,33,594,0,1
869,52,594,0,0
870,33,594,0,1
871,30,594,0,1
872,33,594,0,1
873,33,594,1,1
874,44,640,0,1
875,33,640,1,1
876,33,640,0,1
877,33,640,1,1
878,33,640,1,1
879,33,640,1,1
880,33,640,0,1
881,33,640,1,1
882,33,640,1,1
883,33,640,0,1
884,33,645,1,1
885,33,645,1,1
886,33,645,0,1
887,33,645,1,1
888,26,645,1,1
889,63,645,1,1
890,37,645,0,1
891,29,645,1,1
892,33,645,1,1
893,39,450,1,0
894,45,450,0,0
895,28,450,0,1
896,22,450,0,1
897,29,450,0,1
898,47,3,1,0
899,31,3,0,1
900,25,3,1,1
901,33,3,1,1
902,31,3,0,1
903,33,3,1,1
904,50,3,0,1
905,33,3,1,1
906,33,3,1,1
907,33,13,1,1
908,41,13,0,1
909,33,13,1,1
910,33,13,1,1
911,33,13,1,1
912,33,13,1,1
913,20,13,1,1
914,33,13,1,1
915,23,141,1,1
916,28,141,0,1
917,33,141,1,1
918,33,141,0,1
919,33,141,1,1
920,33,141,1,1
921,20,289,1,1
922,33,289,1,1
923,33,289,1,1
924,33,289,0,1
925,29,289,1,0
926,38,289,0,1
927,33,289,1,1
928,29,289,1,1
929,34,289,1,0
930,47,289,0,1
931,45,710,1,0
932,21,710,0,1
933,29,710,0,1
934,55,710,1,1
935,33,710,0,1
936,45,710,1,1
937,33,710,1,0
938,51,710,1,1
939,33,1020,0,1
940,50,1020,1,0
941,33,1020,0,1
942,33,1020,1,1
943,33,1020,1,1
944,28,1020,1,1
945,35,1020,0,1
946,33,1020,0,1
947,33,1020,1,1
948,33,1020,0,1
949,33,594,1,0
950,22,594,1,1
951,25,594,1,1
952,33,594,0,1
953,19,594,1,1
954,33,594,1,1
955,20,594,0,1
956,42,594,0,0
957,33,594,0,1
958,40,594,1,0
959,33,750,0,1
960,33,750,0,1
961,42,750,1,1
962,33,750,1,1
963,54,750,1,0
964,33,750,1,1
965,33,750,1,1
966,41,750,1,1
967,33,646,1,1
968,33,646,1,1
969,33,646,0,1
970,53,646,1,0
971,33,646,0,0
972,52,646,1,1
973,33,646,1,1
974,33,646,1,1
975,33,646,0,1
976,33,7,1,0
977,33,7,0,1
978,33,7,1,1
979,29,7,1,1
980,43,7,1,1
981,24,7,1,1
982,33,7,1,1
983,33,50,0,1
984,33,50,1,1
985,33,50,0,1
986,33,50,1,1
987,40,50,1,1
988,33,50,0,1
989,33,50,1,1
990,43,50,0,1
991,33,50,1,1
992,37,597,0,1
993,33,597,1,1
994,53,597,1,0
995,33,597,0,0
996,33,597,1,0
997,33,597,0,1
998,33,597,0,1
999,42,1050,0,1
1000,51,1050,1,0
1001,33,1050,0,1
1002,33,1050,0,1
1003,53,1050,1,0
1004,33,1050,0,1
1005,47,1050,1,1
1006,54,1050,0,1
1007,37,1050,1,1
1008,22,430,0,1
1009,33,430,1,1
1010,33,430,1,1
1011,48,430,0,1
1012,24,430,0,1
1013,51,430,1,1
1014,42,430,1,1
1015,33,430,1,1
1016,50,840,1,1
1017,21,840,0,1
1018,29,840,1,1
1019,30,840,0,1
1020,33,840,1,1
1021,27,840,1,1
1022,43,840,0,1
1023,40,840,1,1
1024,28,30,1,1
1025,28,30,1,1
1026,33,30,1,0
1027,33,30,1,1
1028,33,30,0,1
1029,33,30,0,1
1030,38,30,1,1
1031,33,5280,1,1
1032,39,5280,0,1
1033,33,5280,1,1
1034,30,5280,0,1
1035,27,5280,0,1
1036,43,5280,1,1
1037,30,5280,0,1
1038,33,5280,1,1
1039,33,5280,0,1
1040,21,3,1,1
1041,35,3,0,1
1042,54,3,0,0
1043,33,3,1,0
1044,25,3,1,1
1045,33,3,0,1
1046,52,3,0,1
1047,28,3,0,1
1048,26,3,1,1
1049,33,3,0,1
1050,29,3,1,1
1051,33,3,0,1
1052,33,3,0,1
1053,33,0,1,1
1054,33,0,0,1
1055,32,0,1,1
1056,33,0,0,1
1057,33,0,1,1
1058,45,0,1,0
1059,23,0,0,1
1060,33,0,1,1
1061,33,0,0,1
1062,33,0,1,1
1063,29,141,1,1
1064,40,141,1,1
1065,34,141,1,1
1066,43,141,1,1
1067,33,141,1,1
1068,54,141,0,1
1069,33,141,1,1
1070,44,141,1,0
1071,52,141,0,1
1072,33,141,0,0
1073,30,141,1,1
1074,58,141,0,0
1075,42,141,0,1
1076,33,141,0,1
1077,33,141,0,1
1078,25,750,0,1
1079,21,750,1,1
1080,33,750,0,1
1081,33,750,1,1
1082,33,750,0,0
1083,51,750,1,1
1084,33,750,1,1
1085,33,750,1,1
1086,26,750,1,1
1087,43,750,0,0
1088,33,1020,1,1
1089,33,1020,0,1
1090,24,1020,1,1
1091,29,1020,0,1
1092,33,1020,0,0
1093,33,1020,1,1
1094,45,1020,1,1
1095,33,1020,0,1
1096,54,1020,1,1
1097,44,1020,1,1
1098,33,25,1,1
1099,39,25,1,1
1100,33,25,1,1
1101,33,25,0,1
1102,22,25,0,1
1103,19,25,0,1
1104,33,25,1,1
1105,33,25,0,1
1106,33,25,1,0
1107,33,25,1,1
1108,33,7,0,1
1109,49,7,0,0
1110,33,7,1,1
1111,33,7,1,1
1112,33,7,1,1
1113,52,7,0,1
1114,49,7,1,0
1115,40,7,0,1
1116,26,7,1,1
1117,29,7,0,1
1118,33,1070,1,1
1119,33,1070,0,1
1120,33,1070,0,1
1121,33,1070,0,1
1122,33,1070,1,1
1123,33,1070,0,1
1124,36,1070,1,1
1125,33,20,0,1
1126,33,20,1,1
1127,33,20,0,1
1128,47,20,1,0
1129,33,20,0,1
1130,33,20,1,0
1131,50,20,0,0
1132,41,20,0,1
1133,37,20,1,1
1134,22,20,1,1
1135,45,20,0,1
1136,33,20,1,1
1137,33,20,0,1
1138,40,20,1,0
1139,43,748,0,0
1140,35,748,1,1
1141,33,748,1,1
1142,33,748,1,1
1143,56,748,0,0
1144,33,748,0,1
1145,33,748,1,1
1146,33,748,0,1
1147,33,748,1,0
1148,49,748,1,0
1149,44,748,0,0
1150,33,597,1,1
1151,42,597,1,1
1152,29,597,0,1
1153,33,597,1,1
1154,33,597,0,1
1155,39,597,0,1
1156,33,597,1,1
1157,37,26,0,1
1158,33,26,1,1
1159,54,26,0,1
1160,30,26,1,1
1161,33,26,0,1
1162,33,26,1,1
1163,45,26,1,1
1164,33,26,0,1
1165,41,26,1,1
1166,33,26,0,1
1167,33,26,1,1
1168,37,3,0,1
1169,29,3,1,1
1170,33,3,0,1
1171,36,3,0,1
1172,47,3,1,1
1173,28,3,1,1
1174,33,3,0,1
1175,48,3,0,1
1176,30,3,0,1
1177,33,482,0,1
1178,33,482,0,1
1179,42,482,1,1
1180,33,482,0,1
1181,33,482,0,1
1182,33,482,1,1
1183,33,482,0,1
1184,33,482,0,1
1185,33,482,0,1
1186,40,482,1,1
1187,48,584,1,0
1188,33,584,0,1
1189,26,584,1,1
1190,34,584,0,0
1191,47,584,1,1
1192,33,584,0,1
1193,33,584,1,1
1194,53,584,0,0
1195,33,640,0,1
1196,33,640,1,1
1197,50,640,0,1
1198,33,640,1,1
1199,33,640,1,1
1200,47,640,1,1
1201,22,594,0,1
1202,54,594,0,1
1203,33,594,1,1
1204,33,594,1,0
1205,33,594,1,1
1206,33,594,0,1
1207,33,430,0,1
1208,30,430,0,1
1209,33,430,1,1
1210,33,430,1,0
1211,41,430,0,1
1212,33,430,0,0
1213,33,430,1,1
1214,43,430,0,1
1215,33,430,0,1
1216,33,430,1,1
1217,39,430,0,1
1218,52,430,0,0
1219,40,0,1,1
1220,33,0,1,1
1221,33,0,0,1
1222,33,0,0,1
1223,33,0,1,1
1224,22,0,1,1
1225,52,0,1,0
1226,27,0,0,1
1227,33,0,0,1
1228,33,0,1,0
1229,33,750,0,1
1230,33,750,1,1
1231,33,750,1,1
1232,56,750,0,0
1233,30,750,0,1
1234,33,750,1,1
1235,47,710,0,1
1236,33,710,0,1
1237,25,710,1,1
1238,39,710,1,1
1239,33,710,1,0
1240,48,710,0,1
1241,48,710,0,1
1242,57,645,1,0
1243,33,645,0,1
1244,33,645,0,1
1245,33,645,1,1
1246,33,645,1,1
1247,26,645,0,1
1248,27,645,0,1
1249,33,645,1,1
1250,23,645,1,1
1251,33,3,1,1
1252,33,3,1,1
1253,33,3,0,1
1254,54,3,1,0
1255,33,3,1,1
1256,43,3,0,0
1257,53,3,1,1
1258,33,3,1,1
1259,35,3,1,1
1260,43,13,1,1
1261,33,13,1,1
1262,33,13,0,1
1263,33,13,0,1
1264,33,13,0,1
1265,39,13,1,1
1266,46,13,0,1
1267,47,13,1,1
1268,47,13,1,0
1269,42,13,0,1
1270,26,13,0,1
1271,33,13,0,0
1272,33,13,0,1
1273,33,13,1,1
1274,43,13,1,1
1275,33,13,1,1
1276,43,13,0,1
1277,33,13,0,1
1278,33,13,1,1
1279,38,748,0,1
1280,38,748,0,0
1281,33,748,0,1
1282,23,748,0,1
1283,33,748,0,1
1284,31,748,1,1
1285,29,748,0,1
1286,51,7,0,1
1287,33,7,0,1
1288,33,7,0,1
1289,21,7,0,1
1290,33,7,1,1
1291,33,7,0,1
1292,38,7,1,1
1293,33,7,0,1
1294,33,7,0,1
1295,48,233,0,0
1296,47,233,0,0
1297,38,233,1,1
1298,33,233,1,1
1299,33,233,0,1
1300,33,233,1,1
1301,33,0,0,1
1302,33,0,1,1
1303,33,0,1,1
1304,53,0,0,0
1305,40,0,0,1
1306,19,0,1,1
1307,33,646,1,1
1308,30,646,0,1
1309,33,646,0,1
1310,33,646,1,1
1311,33,646,0,1
1312,33,646,0,1
1313,33,646,1,1
1314,34,646,0,1
1315,47,840,0,1
1316,33,840,0,1
1317,33,840,0,1
1318,29,840,0,1
1319,33,840,1,1
1320,41,840,0,1
1321,33,840,1,1
1322,43,840,0,0
1323,33,840,1,1
1324,43,25,1,0
1325,33,25,1,1
1326,33,25,1,1
1327,43,25,0,0
1328,33,25,1,1
1329,34,25,1,1
1330,46,25,1,1
1331,33,25,1,1
1332,33,25,0,1
1333,33,25,1,1
1334,33,710,0,1
1335,33,710,1,1
1336,34,710,1,1
1337,33,710,1,1
1338,33,710,1,1
1339,46,710,0,0
1340,33,710,1,1
1341,27,7219,1,1
1342,40,7219,1,0
1343,33,7219,0,1
